objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,z_spec
1237648720145416474,153.54002,-0.86835979,18.84816,17.08665,16.27265,15.90083,15.59437,0.04596619
1237648720145416573,153.53355,-0.89492947,21.72567,20.02258,18.14419,17.53857,17.17839,0.3640237
1237651799625040136,153.48591,-1.116513,18.08131,16.28545,15.43952,15.00163,14.69878,0.0448023
1237648720145416493,153.57322,-0.95367411,19.3945,16.9173,16.12699,15.75091,15.45241,0.04638718
1237651799625039963,153.6265,-1.1074781,18.05248,16.60978,16.13224,15.72134,15.5676,0.05974002
1237654668663390339,153.47206,-1.19447,18.48352,17.44315,17.08991,16.83975,16.72638,0.04865386
1237648720145416509,153.58321,-0.85845158,19.16956,17.34541,16.54611,16.18535,15.90621,0.04957389
1237651799625040248,153.52191,-1.0929676,19.69613,18.39814,17.63989,17.2188,16.95877,0.119863
1237648720145416543,153.62047,-0.89379579,20.40289,18.46838,17.50413,17.11392,16.77353,0.09821554
1237648720145416288,153.50979,-0.89166156,18.93681,17.05756,16.19188,15.80154,15.48566,0.0448721
1237648720145350970,153.47269,-0.87664087,18.57827,16.76537,15.9435,15.56332,15.26184,0.0467645
1237648720145416349,153.60337,-0.87400649,19.32213,17.40433,16.44512,16.02698,15.72495,0.09769554
1237654668663455984,153.62059,-1.2311103,17.30273,15.95887,15.30673,14.95,14.69915,0.05830636
1237654669200326841,153.64283,-0.83699538,18.19546,16.28082,15.44835,15.0365,14.7154,0.04470693
1237654669737328762,153.9374,-0.37168472,19.58139,17.81524,16.91866,16.40924,16.0263,0.08474722
1237654669737328779,153.94134,-0.40356349,19.54066,17.66211,16.7127,16.27888,15.92942,0.08445486
1237651800162042067,153.82979,-0.64990853,19.7574,18.02709,17.23237,16.84382,16.57823,0.0626008
1237648720682418354,153.8559,-0.61328684,19.77975,18.12816,17.40867,17.06608,16.80793,0.0440147
1237648720682483978,153.94475,-0.51305813,23.24927,20.72996,18.90087,18.22664,17.84445,0.4005152
1237648720682483855,153.94991,-0.45887869,18.63211,17.4915,16.80612,16.44252,16.19316,0.1234957
1237648720682287366,153.58455,-0.4967909,23.76028,20.06236,18.27191,17.67923,17.27322,0.3558666
1237654669737328749,153.92576,-0.34888286,18.56558,16.62751,15.75373,15.35941,15.03709,0.07247057
1237651800162042038,153.806,-0.6615203,19.26863,18.86563,18.91106,18.78564,18.86904,0.06925364
1237651800698781954,153.49702,-0.26188917,19.9861,18.33101,17.61349,17.30646,17.10219,0.09852115
1237654669737132297,153.5207,-0.33514794,20.07673,18.4474,17.71697,17.32807,17.08241,0.09519298
1237648721219223927,153.78003,-0.15699078,24.38463,21.55241,19.609,19.01747,18.69098,0.349784
1237648721219158226,153.5983,-0.077710772,20.88683,18.86809,17.53945,17.06498,16.70309,0.2043797
1237651800698978430,153.93459,-0.25284934,18.25535,17.03532,16.50679,16.21311,16.02885,0.08486317
1237651800161910828,153.5468,-0.72338336,20.14394,18.27829,17.01829,16.55434,16.23065,0.2043857
1237648721219289241,153.85717,-0.070518816,19.1916,17.90146,17.12475,16.71926,16.449,0.1442524
1237648721219289303,153.93372,-0.05079477,20.1573,18.00498,16.87645,16.40585,16.03374,0.1427969
1237648721756029103,153.56032,0.29904718,19.96024,18.11388,17.17004,16.75393,16.40649,0.0958964
1237651752388198462,153.63016,0.99920198,19.55515,17.50517,16.62562,16.21271,15.94209,0.1440155
1237648722829705344,153.39496,1.1763067,21.22221,19.05431,17.78783,17.23967,16.89804,0.2073545
1237648722292900070,153.61729,0.6648094,20.69979,18.68377,17.6055,17.19125,16.85421,0.1436425
1237651752388264038,153.78173,0.97841207,18.96951,17.0569,16.19161,15.77267,15.46543,0.07146911
1237651752388198529,153.75967,0.96829155,17.99825,17.03847,16.82398,16.6915,16.61473,0.02119927
1237648721756029956,153.6309,0.39087876,23.13081,21.20995,19.4144,18.54462,18.00215,0.4951005
1237651752388198631,153.67778,1.0242261,19.58884,18.24025,17.48576,17.09884,16.83846,0.1374276
1237648722829770970,153.57223,1.0903003,20.19286,18.26085,17.34377,16.96213,16.65107,0.1021462
1237651752388263944,153.80663,0.88880643,20.49237,18.60038,17.72062,17.31926,17.02102,0.09780882
1237648722292965601,153.73852,0.66192422,20.03001,18.39238,17.51149,17.11272,16.82172,0.09653098
1237654670274003109,153.53783,0.004820493,20.01719,18.05935,16.80712,16.31847,15.95845,0.1866606
1237651801235652712,153.52404,0.18248005,19.60797,17.76095,16.90318,16.49928,16.23632,0.06369357
1237648721219158167,153.51742,-0.060350448,18.7351,17.32134,16.52771,16.11088,15.79211,0.09730428
1237654670811005047,153.77102,0.4574315,19.41095,17.35955,16.33462,15.84045,15.48653,0.07072148
1237651801772654601,153.90664,0.52533172,17.13419,15.75871,14.98982,14.61844,14.33976,0.07067554
1237648721756094577,153.6592,0.30623652,18.61199,17.38307,16.72252,16.33287,16.04764,0.09404653
1237651801772654927,153.88021,0.5281798,20.1389,18.49812,17.68079,17.34105,17.0655,0.09788958
1237654670811070657,153.94539,0.44993638,18.2703,17.18699,16.80144,16.54029,16.44662,0.09473247
1237648721756225719,153.93644,0.21598105,20.74286,18.87001,17.60488,17.12243,16.76958,0.2062128
1237648721756225726,153.93947,0.27631266,18.59676,16.7977,15.99712,15.61505,15.31103,0.04546872
1237648721219158109,153.49609,-0.081587111,18.04472,15.96752,15.00712,14.56954,14.21696,0.09037467
1237654670274068609,153.67893,0.075272598,19.94201,18.17858,17.20486,16.81995,16.48417,0.143521
1237654670811070636,153.90945,0.50032592,20.01607,18.12148,17.27465,16.91807,16.63512,0.07067875
1237651752388329573,153.98007,0.96408717,21.00813,18.82551,17.51705,17.05335,16.73156,0.2108666
1237648722829901957,153.83203,1.0615648,19.42334,17.92355,17.11761,16.84306,16.6737,0.2158133
1237651752388264331,153.87525,1.0218997,19.13144,18.16284,17.79289,17.57622,17.4024,0.07115626
1237648722293031151,153.84809,0.74686604,18.42613,17.37885,16.84439,16.51586,16.34905,0.1218233
1237651752388264135,153.90088,0.91651331,19.41869,18.00847,17.15834,16.71249,16.59673,0.1202189
1237651801772654990,153.87806,0.58125143,20.15197,18.54822,17.59829,17.10476,16.69013,0.07054671
1237651752388264085,153.8295,0.99120789,19.17072,17.95355,17.49681,17.20111,17.0922,0.07164954
1237654671347876113,153.82626,0.874794,20.27192,18.56121,17.61232,17.14939,16.77491,0.110648
1237648722293030959,153.84286,0.66474179,19.64658,17.8285,16.9847,16.55403,16.28642,0.09763449
1237648722293031156,153.85713,0.70430071,19.44681,17.66381,16.8063,16.41273,16.11855,0.07073419
1237648720685367384,160.54272,-0.5784781,19.88121,17.87057,16.84196,16.42602,16.05123,0.1300396
1237654670277148768,160.63588,0.020745553,18.88004,17.13552,16.18328,15.73594,15.36662,0.1138442
1237648720148169024,159.91585,-0.90377244,19.43646,17.64495,16.70648,16.26564,15.9089,0.08724763
1237654668666142877,159.8402,-1.1399274,20.19098,18.09395,17.03722,16.48336,15.96437,0.07529858
1237654668666142987,159.85805,-1.2451182,17.82183,16.77643,16.45475,16.27308,16.13749,0.03944447
1237654668666143174,159.82322,-1.1828033,23.09066,21.19162,19.3781,18.48569,17.90866,0.4993747
1237654669203079272,159.88894,-0.83353354,18.95784,17.63414,16.93975,16.56801,16.31746,0.0946523
1237654668666208492,159.95013,-1.2103491,19.90447,18.08333,17.39457,17.04049,16.73338,0.05003859
1237654668666142852,159.87401,-1.2013643,19.77336,18.35692,17.62415,17.20135,16.91353,0.09578104
1237654668666142840,159.85098,-1.2149411,18.12083,17.07396,16.66198,16.34957,16.20155,0.0966225
1237654669203013757,159.8389,-0.78854385,19.06826,17.64543,16.91038,16.53214,16.31587,0.1073855
1237654669203013815,159.81631,-0.75408617,20.00813,18.35156,17.58715,17.21938,16.96946,0.1253762
1237654669203079284,159.91313,-0.71218498,20.04583,17.93336,16.9701,16.55826,16.23446,0.0964177
